Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
0ArfwfUFeF8qSzAybS29,PO-000001,2024-06-17,2021-12-02,,,6,"62,5","62,5",cancelledByVendor,delivery,2021-11-18,10,,2fnE1XiuRG39yBo7yB9S,,bBsu65CHFps22otQnD2s,,,,FALSE
0faQcKbVnLFxa7PSKWa8,PO240415-1920,2024-06-17,2024-04-30,,,3,81,81,cancelledByVendor,delivery,2024-04-16,0,,KQHvMD1fQ7jPyrC5nWsK,,XkCH7wPKVhbrvPEfCfEV,,XkCH7wPKVhbrvPEfCfEV,,TRUE
0nD6XKfxmP4Y8yKe6gb0,PO-000001,2024-06-17,2022-04-22,,,4,"1195,36","1195,36",cancelledByVendor,delivery,2022-04-14,0,,OosAh6jwi62Cd5fvEZ8V,,,,,,FALSE
0nW8vY0lgHcYubo7qFTS,PO240212-2584,2024-06-17,2024-02-26,,,1,216,"216,9",cancelledByVendor,delivery,2024-02-14,6,,5SbYMzADNTSypp3CHqdt,,4DZT0CTPwqZbtbLZh6OR,,4DZT0CTPwqZbtbLZh6OR,,TRUE
0onwqFYW6TsnYKgdc56X,PO-000035,2024-06-17,2021-12-07,,,2,"60,4","60,4",cancelledByCustomer,delivery,2021-11-26,10,,De0LQFAAw6JiFjMTbVuV,,bh84nWsl3E2DxVn6raBO,,,,FALSE
0qWyHkU8Nzy0JlSB3oQO,PO231017-7768,2024-06-17,2023-11-01,,,11,"88,75","88,75",cancelledByVendor,delivery,2023-10-18,,,9RMSz3WXxOJBhcHJsiq0,,zUSbxmxRpdcgdKQPanB3,,zUSbxmxRpdcgdKQPanB3,,TRUE
1bTYtlkxcCy2lSQgM65n,PO221108-2208,2024-06-17,2022-11-22,,,2,170,170,cancelledByVendor,pickup,2022-11-10,,,5SbYMzADNTSypp3CHqdt,,3Bp3hrg2a0RX8Mqo6Cj0,,5SbYMzADNTSypp3CHqdt,,TRUE
1csaxd1TrkcD5aNXmzeW,PO220930-7288,2024-06-17,2022-10-15,,,1,80,80,cancelledByVendor,delivery,2022-10-06,0,,OosAh6jwi62Cd5fvEZ8V,,j2o1LdybvFM5UvDkcGP6,,j2o1LdybvFM5UvDkcGP6,,TRUE
1jLddMx4ee7zx48vi4o1,230908-8056,2024-06-17,2023-09-23,,,3,196,196,cancelledByVendor,delivery,2023-09-12,0,,OosAh6jwi62Cd5fvEZ8V,,rjWT03Fscs4qvCFrcTqp,,rjWT03Fscs4qvCFrcTqp,,TRUE
1xbLxVutbMaeaFhqPrhM,PO220627-6216,2024-06-17,2022-07-12,,,1,96,96,cancelledByVendor,delivery,2022-06-30,0,,OosAh6jwi62Cd5fvEZ8V,,M6HsyHtBbU52nES1YTiz,,M6HsyHtBbU52nES1YTiz,,TRUE
