Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
00aa5N0zvIsVmVsVq6ms,PO240913-2016,2024-09-14,2024-09-27,,,5,"110,9","111,8",completed,delivery,2024-09-17,6,,5SbYMzADNTSypp3CHqdt,,WhDsrdgS0JCCgkKfRGSu,,WhDsrdgS0JCCgkKfRGSu,,TRUE
00hT27lTUQmcpQHhNSK6,PO230821-1256,2024-06-17,2023-09-04,,,5,"336,85","337,75",completed,delivery,2023-08-24,6,,5SbYMzADNTSypp3CHqdt,,1TFYg7O4s49uO8BXxmbv,,1TFYg7O4s49uO8BXxmbv,,TRUE
00VvGqyoJbX45KlAZBGD,230831-4992,2024-06-17,2023-09-15,,,4,514,514,completed,delivery,2023-09-05,0,,OosAh6jwi62Cd5fvEZ8V,,rjWT03Fscs4qvCFrcTqp,,OosAh6jwi62Cd5fvEZ8V,,TRUE
03YS3YkRDOGY2g2nOXAz,PO230822-7080,2024-06-17,2023-09-05,,,14,"817,2","818,4",completed,delivery,2023-08-25,8,,5SbYMzADNTSypp3CHqdt,,PcqYnwAdqJSDKCENmDPp,,PcqYnwAdqJSDKCENmDPp,,TRUE
05l7XG4b7E9ehhLyA0Jp,PO220912-3224,2024-06-17,2022-10-11,,,4,"362,25","362,25",completed,delivery,2022-09-15,0,,OosAh6jwi62Cd5fvEZ8V,,4yrii8tdlmMFhSyH85dB,,OosAh6jwi62Cd5fvEZ8V,,TRUE
07vyqlCRQq3VKSOwRZSO,PO-000146,2024-06-17,2021-10-13,,,6,"239,5","239,5",completed,delivery,2021-09-16,,,2fnE1XiuRG39yBo7yB9S,,cEuE0YOEKcVpm79Rsxk3,,,,FALSE
08b2yu7NrkuZiTTUCZdS,PO221123-3056,2024-06-17,2022-12-23,,,3,"103,4","103,4",completed,delivery,2022-11-24,,,WcFItrYB1u7l8TbljPxx,,1qHpu0T4Hy3lQv4pOD7O,,1qHpu0T4Hy3lQv4pOD7O,,TRUE
09GmchEJT30rWTr8vrm8,PO230710-2200,2024-06-17,2023-07-24,,,4,"181,5","182,4",completed,delivery,2023-07-13,6,,5SbYMzADNTSypp3CHqdt,,1TFYg7O4s49uO8BXxmbv,,1TFYg7O4s49uO8BXxmbv,,TRUE
09JGHzVBYbb20fQpR6qK,PO250127-6864,2025-01-30,2025-02-10,,,3,"416,2","417,55",completed,delivery,2025-02-04,9,,5SbYMzADNTSypp3CHqdt,,3p2ZPH2VHLTqsMJVrtvC,,3p2ZPH2VHLTqsMJVrtvC,,TRUE
0a2bXb9pAMGBXkTTWxh1,230823-7688,2024-06-17,2023-09-22,,,4,"158,79","158,79",completed,delivery,2023-08-25,0,,OosAh6jwi62Cd5fvEZ8V,,xKjxS1Wlg3Urt2Z3s1Zn,,OosAh6jwi62Cd5fvEZ8V,,TRUE
0aM09kg4WZyWKSMKlr80,PO230414-6416,2024-06-17,2023-04-29,,,10,"486,6","486,6",completed,delivery,2023-04-26,,,kL7iDLy4sjqAEwmPrj3I,,G58WhpsgYj8zGM0iqGlK,,G58WhpsgYj8zGM0iqGlK,,TRUE
0AnBWXUfXnCTRCA6Thpb,PO-000003,2024-06-17,2021-07-21,,,3,126,126,completed,delivery,2021-06-24,10,,2fnE1XiuRG39yBo7yB9S,,sTcEoGugl7Sqn0kYqSAZ,,,,FALSE
0BvDLvCeW5cq9NwIZLeL,PO-000096,2024-06-17,2021-09-16,,,20,"464,38","464,38",completed,delivery,2021-08-19,,,2fnE1XiuRG39yBo7yB9S,,vGSixjnbVBtgxC8te5QW,,,,FALSE
0cHcpjTA9WTPfFCG1Eg1,PO241028-3216,2024-10-29,2024-11-11,,,4,"88,8",90,completed,delivery,2024-11-01,8,,5SbYMzADNTSypp3CHqdt,,lWu1YT8Eb2eB6c6f0CQy,,lWu1YT8Eb2eB6c6f0CQy,,TRUE
0cnAM1BeT8FdIxRTUMe5,PO-000001,2024-06-17,2022-03-19,,,1,"26,25","26,25",completed,delivery,2022-02-15,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
0CqWSliWNLdVkznQNNMi,PO240912-5056,2024-09-12,2024-10-12,,,3,"46,6","46,6",completed,pickup,2024-09-12,,,5SbYMzADNTSypp3CHqdt,,,,5SbYMzADNTSypp3CHqdt,,TRUE
0D9HnkEgoL1vqb3lMCrf,PO-000010,2024-06-17,2021-12-16,,,7,"151,5","151,5",completed,delivery,2021-11-18,10,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
0DAYweQdqWSfBitOmFPi,PO240504-4776,2024-06-17,2024-05-18,,,1,84,84,completed,pickup,2024-05-07,,,5SbYMzADNTSypp3CHqdt,,,,5SbYMzADNTSypp3CHqdt,,TRUE
0dHMuVIKU6zq3WoieeX2,PO240311-5976,2024-06-17,2024-03-25,,,1,216,"216,9",completed,delivery,2024-03-13,6,,5SbYMzADNTSypp3CHqdt,,4DZT0CTPwqZbtbLZh6OR,,4DZT0CTPwqZbtbLZh6OR,,TRUE
0dl6p9IS0ULBk8q7eL2R,PO230421-8360,2024-06-17,2023-05-05,,,3,466,"466,9",completed,delivery,2023-04-25,6,,5SbYMzADNTSypp3CHqdt,,kPR5gdiIWhU83HolpuPz,,kPR5gdiIWhU83HolpuPz,,TRUE
0dWKZkLUUWgAhrMMLBPO,PO-000010,2024-06-17,2021-11-15,,,3,"439,09","439,09",completed,delivery,2021-11-04,,,p1psRZymrskOdudLEvMT,,4uZwmjgqxKbD6xFoxs4S,,,,FALSE
0Ea669w8bhBdYhmtTYOk,PO-000099,2024-06-17,2022-03-02,,,3,127,127,completed,delivery,2022-02-02,,,96WfyBWlY4LIxh97AbYd,,1xqK3yfuYjdPMMkmwnyn,,1xqK3yfuYjdPMMkmwnyn,,TRUE
0F6uW7NWC6OVv6IHcuw8,PO230822-5288,2024-06-17,2023-09-05,,,1,45,45,completed,pickup,2023-08-25,,,5SbYMzADNTSypp3CHqdt,,,,5SbYMzADNTSypp3CHqdt,,TRUE
0FLQtZbIOM8ug2tAr19L,PO-000002,2024-06-17,2021-06-02,,,1,240,240,completed,delivery,2021-06-10,0,,xNtjzzMTE4Jfvrml7yaw,,qXmE040dT37uYBhMjY3m,,,,FALSE
0G0OE6Eh5BBbbRCSiz7m,PO240820-7512,2024-08-26,2024-09-04,,,10,"126,22","126,22",completed,pickup,2024-08-22,,22,b9BfyQpyz5fxTBbguFU8,,mw612PZJBbGWlSUpTJCR,,mw612PZJBbGWlSUpTJCR,,TRUE
0G99EEoRwYbcOkUEK1JY,230714-3096,2024-06-17,2023-08-13,,,5,2585,2585,completed,delivery,2023-07-21,0,,OosAh6jwi62Cd5fvEZ8V,,4yrii8tdlmMFhSyH85dB,,OosAh6jwi62Cd5fvEZ8V,,TRUE
0GEDbydOGklAxOUlsxgv,PO221112-3408,2024-06-17,2022-11-27,,,5,"143,5","143,5",completed,delivery,2022-11-15,0,,OosAh6jwi62Cd5fvEZ8V,,tzaNDksm9i1xetYGHyxA,,OosAh6jwi62Cd5fvEZ8V,,TRUE
0gkU46oXhFeRzJQOGDwY,PO221125-2392,2024-06-17,2022-12-10,,,7,130,130,completed,delivery,2022-11-29,,,iyecptCf2ib79GmaepWK,,OoypoIOMuAZfjUyLZQAb,,OoypoIOMuAZfjUyLZQAb,,TRUE
0GPAFtsqIbeKvsfYC3BM,PO-000001,2024-06-17,2022-03-09,,,2,188,"195,49",completed,delivery,2022-02-26,50,,5FNIS4eo7BI21FGxstpx,,bjIzI3whOtyyZi4FX8pf,,,,FALSE
0gTPLI2TOJJ9hqSccTTo,PO220726-6344,2024-06-17,2022-08-10,,,5,"138,12","138,12",completed,delivery,2022-07-29,0,,b9BfyQpyz5fxTBbguFU8,,1xqK3yfuYjdPMMkmwnyn,,1xqK3yfuYjdPMMkmwnyn,,TRUE
0gw4zpbU5T2169K342jR,PO240628-4456,2024-06-28,2024-07-28,,,3,224,224,completed,pickup,2024-06-28,,,Wg0Ey5tINc9Me5HiUNxF,,,,Wg0Ey5tINc9Me5HiUNxF,,TRUE
0hi4nxZibIK0xOzwJBBg,PO240306-8560,2024-06-17,2024-03-20,,,2,72,72,completed,pickup,2024-03-08,,,5SbYMzADNTSypp3CHqdt,,TTij3aVJEo1crZBTESoA,,TTij3aVJEo1crZBTESoA,,TRUE
0HRHexgIL5UUMTmz1t9M,PO241028-8872,2024-10-28,2024-11-11,,,1,198,"198,9",completed,delivery,2024-10-30,6,,5SbYMzADNTSypp3CHqdt,,4DZT0CTPwqZbtbLZh6OR,,4DZT0CTPwqZbtbLZh6OR,,TRUE
0IbhFWue16Jopz9P6RG6,PO240429-9288,2024-06-17,2024-05-13,,,3,"106,35","107,25",completed,delivery,2024-05-02,6,,5SbYMzADNTSypp3CHqdt,,XkCH7wPKVhbrvPEfCfEV,,XkCH7wPKVhbrvPEfCfEV,,TRUE
0Iw2zGYfAmrt3JfVAGNM,240625-2872,2024-07-30,2024-07-10,,,6,"206,74","206,74",completed,delivery,2024-06-28,,,OosAh6jwi62Cd5fvEZ8V,,3N6wNZs7BBGG28z4ax1b,,3N6wNZs7BBGG28z4ax1b,,TRUE
0IztwZMYL7BihDogHND2,PO240709-9832,2024-07-10,2024-07-23,,,11,"459,6","460,8",completed,delivery,2024-07-12,8,,5SbYMzADNTSypp3CHqdt,,PcqYnwAdqJSDKCENmDPp,,PcqYnwAdqJSDKCENmDPp,,TRUE
0jbkajSyaEXc1SEuMZsK,PO221107-6976,2024-06-17,2022-12-07,,,7,"197,59","197,59",completed,delivery,2022-11-10,,,WcFItrYB1u7l8TbljPxx,,XXFYWimSEqlKQ10nKlBg,,XXFYWimSEqlKQ10nKlBg,,TRUE
0k3gN37tJPvA2CGSPEL0,240710-1232,2024-08-30,2024-08-09,,,6,"274,25","274,25",completed,delivery,2024-07-16,,,OosAh6jwi62Cd5fvEZ8V,,LKcIpGMiK6kvzXPRnFFx,,LKcIpGMiK6kvzXPRnFFx,,TRUE
0KK1YpgWOqNbttRBcj1T,PO230307-1960,2024-06-17,2023-03-21,,,5,"103,5","103,5",completed,pickup,2023-03-10,,,5SbYMzADNTSypp3CHqdt,,zUSbxmxRpdcgdKQPanB3,,zUSbxmxRpdcgdKQPanB3,,TRUE
0kNAs0trdnpjrybHp7Bv,PO231110-0376,2024-06-17,2023-11-24,,,1,150,"150,9",completed,delivery,2023-11-14,6,,5SbYMzADNTSypp3CHqdt,,kPR5gdiIWhU83HolpuPz,,kPR5gdiIWhU83HolpuPz,,TRUE
0kO1GZ5IhrN7FKE7llTV,PO230210-6928,2024-06-17,2023-02-24,,,2,297,"297,9",completed,delivery,2023-02-14,6,,5SbYMzADNTSypp3CHqdt,,kPR5gdiIWhU83HolpuPz,,kPR5gdiIWhU83HolpuPz,,TRUE
0L7EUQ4i5qmcn0vIiVas,PO230515-4136,2024-06-17,2023-05-29,,,2,100,100,completed,pickup,2023-05-18,,,5SbYMzADNTSypp3CHqdt,,3Bp3hrg2a0RX8Mqo6Cj0,,3Bp3hrg2a0RX8Mqo6Cj0,,TRUE
0Lmqmq502LNz6uJohesY,PO240818-7616,2024-08-20,2024-09-01,,,7,"804,5","805,7",completed,delivery,2024-08-23,8,,5SbYMzADNTSypp3CHqdt,,6Ps1HcE0hJIXWi51Nkl3,,6Ps1HcE0hJIXWi51Nkl3,,TRUE
0Lq7IKLsNcljUWoSV8cj,PO250124-8128,2025-01-25,2025-02-07,,,5,"120,6","121,95",completed,delivery,2025-01-28,9,,5SbYMzADNTSypp3CHqdt,,tte3kCWRze1PWOWmm74s,,tte3kCWRze1PWOWmm74s,,TRUE
0MbUZeq4o3cvV2vUxPEf,PO241021-1560,2024-10-21,2024-11-04,,,1,40,40,completed,pickup,2024-10-23,,15,5SbYMzADNTSypp3CHqdt,,DmBkDRh9G0I1NVkEA4xB,,DmBkDRh9G0I1NVkEA4xB,,TRUE
0mOJK7zFl88XNg7T7Bz8,PO220822-2216,2024-06-17,2022-09-21,,,12,"56,2","56,2",completed,pickup,2022-08-23,,,cMU8oxxvoIYn85Ok0nIa,,,,,,FALSE
0myx1JROxZLnsvLqpwwg,PO230223-2768,2024-06-17,2023-03-09,,,2,"76,1","76,1",completed,pickup,2023-02-25,,,5SbYMzADNTSypp3CHqdt,,3Bp3hrg2a0RX8Mqo6Cj0,,5SbYMzADNTSypp3CHqdt,,TRUE
