Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
IRXlaSMWBEPUPwNdtiTf,PO-000001,2024-06-17,2020-12-11,,,1,85,85,completed,delivery,2020-12-14,10,,tmOXCMVbg9IRIMYeRVdi,,,,,,FALSE
Fn12Quo6hlUiB5mO825f,PO-000001,2024-06-17,2021-02-08,,,4,"205,75","205,75",completed,delivery,2021-02-10,,,96WfyBWlY4LIxh97AbYd,,XXFYWimSEqlKQ10nKlBg,,,,FALSE
obezLo3pd0gXiaoVZcPZ,PO-000002,2024-06-17,2021-02-15,,,7,"213,6","213,6",completed,delivery,2021-02-17,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
4QNErEdQY64svb6BniQi,PO-000003,2024-06-17,2021-03-08,,,3,92,92,completed,delivery,2021-03-10,,,96WfyBWlY4LIxh97AbYd,,XXFYWimSEqlKQ10nKlBg,,,,FALSE
DudlR5R0GxJe1WkMgMgK,PO-000004,2024-06-17,2021-03-08,,,6,"155,9","155,9",completed,delivery,2021-03-10,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
WksokppwRkBfrnVSxtjZ,PO-000004,2024-06-17,2021-04-17,,,6,"98,5","98,5",completed,delivery,2021-04-21,,,96WfyBWlY4LIxh97AbYd,,wRymF2HMwVQEoJuDSred,,,,FALSE
Yao233pmtwJxTdnMJMaL,PO-000001,2024-06-17,2021-04-23,,,1,89,89,completed,delivery,2021-05-03,20,,xaqX67YsIeufq3vI1Ac3,,wRymF2HMwVQEoJuDSred,,,,FALSE
1lI37vXnGJAOmz6n8nJS,PO-000006,2024-06-17,2021-05-05,,,3,"83,5","83,5",completed,delivery,2021-05-12,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
iLRdof8qpyzGhSKB2mmb,PO-000005,2024-06-17,2021-05-04,,,11,"152,65","152,65",completed,delivery,2021-05-12,,,96WfyBWlY4LIxh97AbYd,,aTdtSNcLuZeOfrDcpuxS,,,,FALSE
Qe8ecKsYI38WjQTJ6RDL,PO-000001,2024-06-17,2021-05-14,,,4,"154,5","154,5",completed,delivery,2021-05-20,,,9DxJd1Xh4cojMGl2rcHD,,,,,,FALSE
P54QDaKlJdOHTMywBa8Q,PO-000002,2024-06-17,2021-05-13,,,2,"251,78","251,78",completed,delivery,2021-05-21,0,,PKpjB4uehZ9kemtamXaF,,,,,,FALSE
Q0C85VhG66nwzhDklMji,PO-000001,2024-06-17,2021-05-13,,,1,"267,84","267,84",completed,delivery,2021-05-21,0,,PKpjB4uehZ9kemtamXaF,,,,,,FALSE
AbmlYUgxKXMFkcrfhQnE,PO-000001,2024-06-17,2021-05-17,,,2,"150,12","157,61",completed,delivery,2021-05-27,0,,5tLc17Aghua8I158Bn7L,,,,,,FALSE
DuvFyoiUg9NTw2jG6GsK,PO-000002,2024-06-17,2021-05-18,,,1,144,144,completed,delivery,2021-05-27,0,,5tLc17Aghua8I158Bn7L,,02EDXE80V0cbIxXFgaFm,,,,FALSE
mue761by8pxRZb2wmZex,PO-000001,2024-06-17,2021-05-18,,,3,"585,24","585,24",confirmed,delivery,2021-05-27,0,,6L1f0YxI3BpTxSxULPJH,,02EDXE80V0cbIxXFgaFm,,,,FALSE
StTNTbDUKyKiojHxJOdg,PO-000003,2024-06-17,2021-05-31,,,2,"450,36","465,34",completed,delivery,2021-06-04,0,,5tLc17Aghua8I158Bn7L,,jMnGfBkwn6XFacanPWbO,,,,FALSE
1P8eHiaCNKsVEmUboQQ7,PO-000007,2024-06-17,2021-06-01,,,5,"118,75","118,75",completed,delivery,2021-06-09,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
cF7WOI7GW9VlkljTBUV2,PO-000004,2024-06-17,2021-06-02,,,3,"271,86","309,2",completed,delivery,2021-06-09,0,,xNtjzzMTE4Jfvrml7yaw,,,,,,FALSE
eEmKOvDTx1uB1pPRNNV0,PO-000001,2024-06-17,2021-05-31,,,3,"393,12","441,21",completed,delivery,2021-06-09,0,,xNtjzzMTE4Jfvrml7yaw,,Qu3KoUaTnt3VdQ999iri,,,,FALSE
0FLQtZbIOM8ug2tAr19L,PO-000002,2024-06-17,2021-06-02,,,1,240,240,completed,delivery,2021-06-10,0,,xNtjzzMTE4Jfvrml7yaw,,qXmE040dT37uYBhMjY3m,,,,FALSE
nX2aboZa5N0RCG9YaHwU,PO-000003,2024-06-17,2021-06-02,,,4,"313,08","339,74",completed,delivery,2021-06-10,0,,xNtjzzMTE4Jfvrml7yaw,,dUyhWhwpMUpHfTDsEUus,,,,FALSE
5IXwmfpFAxF9vw1nIqWV,PO-000001,2024-06-17,2021-06-11,,,1,"315,2","315,2",completed,delivery,2021-06-14,,,p1psRZymrskOdudLEvMT,,,,,,FALSE
GqZFhDuaMfS3rc9fPLxU,PO-000010,2024-06-17,2021-06-15,,,3,446,446,completed,delivery,2021-06-15,,,96WfyBWlY4LIxh97AbYd,,dDowduNTLpBMVTs1t8SN,,,,FALSE
CG9cYne5ZFCwdf7LYLcR,PO-000011,2024-06-17,2021-06-15,,,4,98,98,completed,delivery,2021-06-16,,,96WfyBWlY4LIxh97AbYd,,IV7TW978aIOWyrr1P8cG,,,,FALSE
