Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
qjcnnu9nSsIjmu5zgDTc,PO-000001,2024-06-17,2020-11-30,,,1,4,4,completed,delivery,2020-12-03,0,,oNCxXdJ88T7aEWzhTFvM,,sdlU5nxK7oZA1rfLRBxC,,,,FALSE
IRXlaSMWBEPUPwNdtiTf,PO-000001,2024-06-17,2020-12-11,,,1,85,85,completed,delivery,2020-12-14,10,,tmOXCMVbg9IRIMYeRVdi,,,,,,FALSE
obezLo3pd0gXiaoVZcPZ,PO-000002,2024-06-17,2021-02-15,,,7,"213,6","213,6",completed,delivery,2021-02-17,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
Yao233pmtwJxTdnMJMaL,PO-000001,2024-06-17,2021-04-23,,,1,89,89,completed,delivery,2021-05-03,20,,xaqX67YsIeufq3vI1Ac3,,wRymF2HMwVQEoJuDSred,,,,FALSE
Qe8ecKsYI38WjQTJ6RDL,PO-000001,2024-06-17,2021-05-14,,,4,"154,5","154,5",completed,delivery,2021-05-20,,,9DxJd1Xh4cojMGl2rcHD,,,,,,FALSE
qchD0myQidBJPS0ZWRg9,PO-000001,2024-06-17,2021-07-31,,,5,"73,3","73,3",completed,delivery,2021-07-22,5,,De0LQFAAw6JiFjMTbVuV,,9H9zlZVE3y5OBMsIFTzi,,9H9zlZVE3y5OBMsIFTzi,,TRUE
9xxLehB8zIu9PjCxLjaJ,PO-000002,2024-06-17,2021-08-09,,,6,"361,25","361,25",completed,delivery,2021-07-29,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
IRyWgXMETEQxVyJVgVDP,PO-000001,2024-06-17,2021-08-09,,,3,140,140,completed,delivery,2021-08-04,,,Xtjx8mlCcyKpmlHdf1Wb,,kPR5gdiIWhU83HolpuPz,,,,FALSE
UjI8BwVDikNXrKHjnCmw,PO-000003,2024-06-17,2021-08-16,,,9,"433,95","433,95",completed,delivery,2021-08-05,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
EE973sIv6XK4vB7wFPXx,PO-000002,2024-06-17,2021-08-17,,,6,"58,5","58,5",completed,delivery,2021-08-04,,,cFGkFsJnkNhTDDgkue4x,,zgVgXfigub2rk9WPP6ou,,,,FALSE
pyRv7twgQWiVQ8NKILzc,PO-000001,2024-06-17,2021-08-17,,,6,58,58,completed,delivery,2021-08-04,,,cFGkFsJnkNhTDDgkue4x,,KVQnSDjSyXWXREIp7kAW,,,,FALSE
xw3D8GTD9Zma4fhus4dd,PO-000004,2024-06-17,2021-08-17,,,4,156,156,completed,delivery,2021-08-05,,,De0LQFAAw6JiFjMTbVuV,,jMnGfBkwn6XFacanPWbO,,,,FALSE
vOAmEz1E9RyDfa5EeirI,PO-000005,2024-06-17,2021-08-23,,,7,"412,3","412,3",completed,delivery,2021-08-12,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
cPJvoFUbKs5E3mLlsTPi,PO-000002,2024-06-17,2021-08-25,,,1,100,100,completed,delivery,2021-08-18,,,Xtjx8mlCcyKpmlHdf1Wb,,3Bp3hrg2a0RX8Mqo6Cj0,,,,FALSE
JpSEVyj428SS9efCiR2O,PO-000006,2024-06-17,2021-08-28,,,5,"168,4","168,4",completed,delivery,2021-08-19,5,,De0LQFAAw6JiFjMTbVuV,,9H9zlZVE3y5OBMsIFTzi,,9H9zlZVE3y5OBMsIFTzi,,TRUE
