,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation
,,,Btq7pcacWwpVPnSCnd90,,consumer,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2021-07-05
,,,cGQkbhs4f8oJ0BlF9HDI,,consumer,,,,,fr,Lanaudière,Matawinie,Rawdon,,,,Quebec,Canada,2021-07-05
,,,85AhnUwKDuRZcDYplstD,,consumer,,,,,fr,Lanaudière,D'Autray,St Norbert,,,,Quebec,Canada,2021-08-16
,,,tBLwe5GRwP1ZOC7QhOi2,,consumer,,,,,fr,Lanaudière,Montcalm,Saint-Calixte,,,,Quebec,Canada,2021-09-01
,,,gsgrX4eyZG61JRfSKQVm,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Stanbridge East,,,,Quebec,Canada,2021-09-08
,,,TnYtwiyPzbzsQvjC18h0,,consumer,,,,,fr,Laval,Laval,LAVAL,,,,Quebec,Canada,2021-09-10
,,,zmH6XeYKzFFxySYVdddJ,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-09-15
,,,cNmC0Q19eqUwCqYq4wAJ,,consumer,,,,,fr,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2021-09-17
,,,tQT4jetU02n311qZFndE,,consumer,,,,,fr,Lanaudière,Joliette,Sainte-Mélanie,,,,Quebec,Canada,2021-09-20
,,,oIQnkE41BQj7ZxWaRLW5,,consumer,,,,,fr,Montérégie,Roussillon,Mercier,,,,Quebec,Canada,2021-09-21
,,,Zn5c3nb7BJB1t2C6OLbf,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-09-22
,,,4VOye2785sdZinF9iriK,,consumer,,,,,fr,Montérégie,Longueuil,Longueuil,,,,Quebec,Canada,2021-09-27
,,,LDeqe2qTxrF6oqR2IXbW,,consumer,,,,,en,,,Us,,,,Alberta,Canada,2021-09-27
,,,E7gJhoLxRcFPMZjeG91A,,consumer,,,,,fr,Laurentides,Deux-Montagnes,Sainte-Marthe-sur-le-lac,,,,Quebec,Canada,2021-09-28
,,,cJIVILx43qM1usvM6Wr4,,consumer,,,,,fr,Capitale-Nationale,Portneuf,Donnacona,,,,Quebec,Canada,2021-09-28
,,,6YusFtGdGvlQtvEnSZUm,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-09-30
,,,mSr8Hx4NOU1V1ecsKtn1,,consumer,,,,,fr,Montérégie,Pierre-De Saurel,Sorel-Tracy,,,,Quebec,Canada,2021-09-30
