,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,,,,,,,,,,,,,,,,type
,,,XXFYWimSEqlKQ10nKlBg,,specialized_grocery_store,,,,,fr,Montérégie,Longueuil,Saint-Lambert,,,,Quebec,Canada,2021-02-08,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,oWkkYBQOOPAQdOI0O6NK,,restaurant,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-02-16,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,ItMCVzhchpRAB5wAjWUo,,restaurant,,,,,fr,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2021-02-17,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,sFB8NUyhbBUniPy7qDb7,,grocery_store,,,,,fr,Montréal,Saint-Laurent,Saint-Laurent,,,,Quebec,Canada,2021-02-18,,,,,,,,,,,,,,,,Supermarché
,,,Qu3KoUaTnt3VdQ999iri,,specialized_grocery_store,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montréal,,,,Quebec,Canada,2021-02-22,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,Lg0C1CaopJF68qFCQjd7,,artisan,,,,,fr,Montréal,LaSalle,LaSalle,,,,Quebec,Canada,2021-02-23,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,esUx4R97VWURmYclV27M,,artisan,,,,,fr,Montréal,Côte-Saint-Luc,Cote Saint-Luc,,,,Quebec,Canada,2021-03-02,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,BfnZvnpHFqXGZQuK2Ppi,,restaurant,,,,,fr,Saguenay--Lac-Saint-Jean,,Dolbeau-Mistassini,,,,Quebec,Canada,2021-03-06,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,Y4vuzNEopjnB8nwa2Uqh,,specialized_grocery_store,,,,,fr,Montérégie,Longueuil,St-Lambert,,,,Quebec,Canada,2021-03-08,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,Pktxwoj7J8rgRFJMRKdY,,institution,,,,,fr,Lanaudière,L'Assomption,repentigny,,,,Quebec,Canada,2021-03-10,,,,,,,,,,,,,,,,Institution
