,,,unique_id,,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,vegetable_fruit,meat,processed_product,maple_honey,bread,dairy,wild_product,seafood,oils_and_vinegars,alcohol_free_drink,alcohol_below_18_drink,alcohol_above_18_drink,non_food_products
,,,BIEABspqYO7Vbg0Bg1Lq,,,,,,fr,Montréal,Côte-des-Neiges - Notre-Dame-de-Grâce,Montreal,,,,Quebec,Canada,2021-01-21,TRUE,,,,,,,,,,,,
,,,96WfyBWlY4LIxh97AbYd,,,,,,fr,Montérégie,Le Haut-Richelieu,Saint-Jean-Sur-Richelieu,,,,Quebec,Canada,2021-01-28,TRUE,,TRUE,TRUE,,,TRUE,,,,,,
,,,x4tHUv0jgLZq2Yx12nrS,,,,,,fr,Montérégie,La Vallée-du-Richelieu,Carignan,,,,Quebec,Canada,2021-02-08,,TRUE,,,,,,,,,,,
,,,6L1f0YxI3BpTxSxULPJH,,,,,,fr,Capitale-Nationale,La Côte-de-Beaupré,Saint Ferréol Les Neiges,,,,Quebec,Canada,2021-02-08,,TRUE,TRUE,,,,,,,,,,
,,,fkcl4ulHfy4OYTiq6jY3,,,,,,fr,Lanaudière,L'Assomption,L'Épiphanie,,,,Quebec,Canada,2021-02-08,,TRUE,,,,,,,,,,,
,,,rNLpukH8UjWpXmu889ym,,,,,,fr,Montérégie,St-Eugène,St-Eugène,,,,Quebec,Canada,2021-02-17,TRUE,,,,,,,,,,,,
,,,5gfOmOll6j02irolQP2m,,,,,,fr,Montréal,Ahuntsic-Cartierville,Montréal,,,,Quebec,Canada,2021-02-18,,,TRUE,,TRUE,,,,,,,,
,,,l01IJwIe43FPpadnJT2o,,,,,,fr,Lanaudière,D'Autray,Saint-Norbert,,,,Quebec,Canada,2021-02-24,TRUE,,,,,,,,,,,,
,,,KD9YredfOxcW7AWNbzk9,,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-02-25,,,,,TRUE,,,,,,,,
,,,ND021xr8L4qkAQUSIYKx,,,,,,en,Montréal,Côte-des-Neiges - Notre-Dame-de-Grâce,Montreal,,,,Quebec,Canada,2021-02-28,,,TRUE,,,,,,,,,,
,,,XwOjsEKcLIuaRYrD3wSW,,,,,,fr,Bas-Saint-Laurent,La Matanie,Baie-Des-Sables,,,,Quebec,Canada,2021-03-02,,,TRUE,,TRUE,,,,,,,,
,,,YhNtNuWuMnhARBkPin6Z,,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-03-04,TRUE,,TRUE,TRUE,,,,,TRUE,,,,
,,,BRaPGSah16nZ70FOSgPv,,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-03-04,TRUE,,,,,,,,,,,,
